C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
0.16440832783473636,0.9391240257986598,0.7784171443435889,0.1314037901398586,0.32629204706847015,0.1543108658071637,0.5741291778119405,0.6223482340633979,0.6888636016936553,0.9666558303039617
0.007225785863109513,0.07782901735369396,0.4991103515299872,0.017331520329651684,0.2068324476577339,0.19289076003110128,0.9385844289423739,0.9442398091177453,0.07491878995220269,0.4854775439066137
0.954634708532963,0.32760531899045586,0.5108885063554913,0.3682540560070563,0.8688199191586823,0.17974104185808326,0.5448032530006888,0.8706978810987748,0.4835040327305422,0.22852408639768063
0.9741670703901061,0.27307798721093535,0.5586296641178036,0.32445909374843096,0.22562316687277084,0.07291065513744266,0.7565308737594907,0.27854412654554495,0.06070264640715073,0.07960968008274238
0.546899786490224,0.6856391646004821,0.8564777602028537,0.1945338470316823,0.9796094273876224,0.6679402530846776,0.04340704544776686,0.9163429382481936,0.3889655599438183,0.40888178827025723
0.2763774643577559,0.34497611582591436,0.7293152744586603,0.6510364226188615,0.4775145499562192,0.1518672779783794,0.8386408024760587,0.07213498411369479,0.8268327322323528,0.6770956604736106
0.39623493877888005,0.6368587036115106,0.9941189575555159,0.6378838049646217,0.10510058869212446,0.188009586889898,0.17908456940183004,0.9798685535008858,0.4474323343020504,0.3682493376466004
0.44564747264732807,0.8412978408086864,0.43979565159773937,0.7264262834912882,0.8778172961543278,0.5312658424200907,0.6863188515168381,0.9405512186943611,0.9311704661227661,0.0036867224812501265
0.7735329070193435,0.9675054105546131,0.35853614142783463,0.7294616016699953,0.40973978913515186,0.46445043347695314,0.3886562393648295,0.26169784087261483,0.8019726295568007,0.9790705268642683
0.8102012027549429,0.40411678655674377,0.6707263386113649,0.503786450297095,0.5076052983394844,0.3052952431476469,0.08432232787422289,0.37805758978984627,0.8543816981637958,0.45016406799810393
0.5798869157746186,0.0014972554485680467,0.5153447158636623,0.5555894635501739,0.3066927330193959,0.7422755852867908,0.25131841557932877,0.03528724740501765,0.5453078308124778,0.11543682602398575
0.825824264072329,0.08690276077869874,0.04099309050699762,0.24280878585602939,0.5258848999681843,0.3413664920598263,0.31663891471265604,0.9160027366941662,0.9561162028122979,0.9927522260832041
0.9445825624009613,0.3170938617312561,0.24367247538257109,0.34406920119145956,0.4687522920992817,0.9061622031228087,0.7947579146251474,0.3866360811165567,0.471954671323484,0.3056569501710187
0.8865334457149477,0.40945093251137044,0.9681389702413037,0.8944413101110956,0.7784111907673904,0.4871163779166604,0.1950851819442745,0.9132558561021269,0.6671522359419796,0.5654399201738802
0.8456484854184833,0.7517561783041466,0.08676296910219405,0.5963182837992191,0.6036092798873529,0.10206823523546626,0.26745064776491945,0.8644148642496251,0.570969281137478,0.09946314411642487
